,Title,Director,Cast,Genre,year
379,Sati Saroj a.k.a. Shiyal Ni Kasoti,,"Elizer, Madanrai Vakil, Jilloobai",Devotional Legend,1926
380,Satyavijaya a.k.a. The Triumph Of Youth,Shree Nath Patankar,"Keshav Narayan Kale, K. B. Athavale, Thatte",Social,1926
381,Saurashtra Veer,Nanubhai Desai,"Parshwanath Yeshwant Altekar, Amir Banu",Costume,1926
382,Shah-E-Jungle a.k.a. King Of Forest,K. P. Bhave,"Madanrai Vakil, Jilloobai, Bhagwati Mishra, M. Udwadia",Action Costume,1926
383,Sheesh Mahal,Bhagwati Mishra,"Elizer, Madanrai Vakil, Jilloobai, Bhagwati Mishra",Costume,1926
384,Shirin Farhad a.k.a. At The Altar Of Love,Homi Master,"Gohar, Khalil, Jumuna, Noor Mohammed Charlie, Daji, Heera",Legend Romance,1926
385,Slaves Of Custom,Bhagwati Mishra,"Madanrai Vakil, Jilloobai, Bhagwati Mishra",Social,1926
386,Society Butterfly a.k.a. Khubsurat Bala,Kanjibhai Rathod,"Fatma Begum, Ermeline, Nandram, Gulab, Haider Shah, Vishnu, Joshi",Costume,1926
387,Sweet Adversity a.k.a. Panima Aag,Nagendra Majumdar,"Madanrai Vakil, Jilloobai, Putli, Miss Jainu",Fantasy,1926
388,Tai Teleen a.k.a. Tayi Teleen,N. D. Sarpotdar,"D. Bilimoria, Durga, Bapu Gokhale, Gangu",Historical,1926
389,Telephone Girl,M. D. Bhavnani,,,1926
390,The Pretender a.k.a. Totayache Bund,N. D. Sarpotdar,"Bandopant Sohoni, Wamanrao Kulkarni, Durgabai Koregaonkar, P. N. Varne, Dattoba Rajwade, D. N. Potdar",Historical,1926
391,The Telephone Girl a.k.a. Telephone Ni Taruni,Homi Master,"Sulochana (Ruby Myers), Raja Sandow, Gohar, Khalil, Jumuna",Social,1926
392,The Vamp a.k.a. Yauvan Chakra,Naval Gandhi,Miss Yakbal,Social,1926
393,The Victim a.k.a. Bhool No Bhog,Harshadrai Mehta,"Ermeline, Gulab, Nandram, Prabhudas",Social,1926
394,Typist Girl a.k.a. Why I Became A Christian,Chandulal Shah,"Sulochana (Ruby Myers), Raja Sandow, Gohar",Social,1926
395,Vanthel Veshya a.k.a. Flirting Widow a.k.a. Vanthel Vidhwa,K. P. Bhave,"Madanrai Vakil, Jilloobai",Action Costume,1926
396,Vasant Bala,Nanubhai B. Desai,"Miss Jones, Master Vithal",Costume,1926
397,Veer Kesari a.k.a. Brave Kesari,Kanjibhai Rathod,"Ermeline, Gulab, Haider Shah, Nandram, Vishnu, Joshi",Costume,1926
398,Wandering Phantom a.k.a. Bhamto Bhoot,M. D. Bhavnani,"Sulochana (Ruby Myers), Khalil, R. N. Vaidya, Behram Vasania",Fantasy,1926
399,Way Of The World a.k.a. Dagabaaz Duniya,Harihar Diwana,"Miss Jones, Amir Banu, Yakbal",Social,1926
400,Adbhoot Khoon a.k.a. Horrible Murder,,,,1927
401,A Fair Warrior a.k.a. Shoor Killedarin,Vishnupant Aundhkar,"Gangubai, Wamanrao Kulkarni",Historical,1927
402,Alladin and His Wonderful Lamp a.k.a. Alladdin Ane Jadui Fanas,Bhagwati Prasad Mishra,"Zebunissa, Yusuf, Elizer",Fantasy,1927
403,Allah Ka Pyara,K. P. Bhave,"Elizer, Zebunissa, Jamshedji, Madanrai Vakil, Indira Devi, Mehboob Khan",,1927
404,Alibaba and the Forty Thieves a.k.a. Alibaba Chalis Chor,Bhagwati Prasad Mishra,"Sulochana (Ruby Myers, Elizer, Jamshedji Khansaheb, Jilloobai, Madanrai Vakil",Fantasy,1927
405,Asuri Lalsa,Nanubhai B. Desai,"Master Vithal, Janibabu, Kumudini, Malka",,1927
406,At The Clang Of Fetters a.k.a. Janjir Ne Jhankhare,Harshadrai Mehta,"Nandram, Gulab, Haidershah, P. R. Joshi, Gangaram, Sultan Alam",Action,1927
407,Balidan a.k.a. Sacrifice,Naval Gandhi,"Sulochana (Ruby Myers), Zubeida, Master Vithal, Jal Khambatta, J. Makhijani",Social Costume,1927
408,Bansari Bala a.k.a. Fairy Of The Flute,A. P. Kapoor,"Master Vithal, Madhuri, Jani Babu, Asha, Meherbanu",Fantasy,1927
409,Be Ghadi Mouj a.k.a. Pleasure Mad,Narayan Deware,"R. N. Vaidya, Jamuna, Rustomji Patel, Thomas, Rajababu",Social,1927
410,Bhakta Sudama,Dadasaheb Phalke,"Bhaurao Datar, Kshirsagar",Devotional,1927
411,Bhaneli Bhamini a.k.a. Educated Wife,Homi Master,"Gohar, Raja Sandow P.K., R.N. Vaidya, Master Kishore",Social,1927
412,Bhedi Trishul a.k.a. Hidden Treasure,Nanubhai B. Desai,"Master Vithal, Miss Mani, Prabhashankar, Janibabu, Lobo, A. P. Kapoor",Action,1927
413,Bhim Sanjivan a.k.a. How Bhim Was Brought Back To Life,G. V. Sane,"Bhaurao Datar, Anasuya",Devotional,1927
414,Chandidas a.k.a. Shree Krishna's Devotee,Jyotish Bannerjee,"Patience Cooper, Jyotsna Devi, Tulsi Bannerjee, Purnima Devi, Nilima Devi, Manorama, Pullanalini",Devotional,1927
415,Cultured Criminal a.k.a. Sudheral Shaitan,,,Social,1927
416,Daksha Yagna,G. V. Sane,"Bhaurao Datar, Anasuya, Bachu Pawar, Gangubai Mohite",Devotional,1927
417,Dasavatar,R. S. Prakash,,Mythology,1927
418,Daya Ni Devi a.k.a. The Nurse,Mohan Dayaram Bhavnani,"Sulochana (Ruby Myers), D. Billimoria, Jamshedji",Social,1927
419,Detective Kumar,K. B. Athavale,"K. B. Athavale, Rampyari, Nalini, Salvi",Social,1927
420,Dilfarosh a.k.a. Merchant Of Hearts,M. Udwadia,"M. Udwadia, K. B. Athavale, Nargis, Saiyed Umer",Costume Drama,1927
421,Draupadi Vastraharan,Dadasaheb Phalke,"Baburao Datar, Gangubai Mohite, Bachoba",Mythology,1927
422,Durgesh Nandini,Priyanath Ganguly,"Patience Cooper, Seeta Devi, Durgadas Bannerjee, Ahindra Chowdhury, Naresh Mitra, Jainarayan Mukherjee, Indira Devi, Geeta, Kanu Bannerjee, Prabodh Bose, Kanaknarayan Bhup",Romance Legend,1927
423,Eighth Incarnation a.k.a. Krishna Sambhav,N. D. Sarpotdar,"Gangubai, Wamanrao Kulkarni",Religious,1927
424,E Kon? a.k.a. Who,J. Jhaveri,Blanche Verne,,1927
425,Fairy Of Delhi a.k.a. Rangmahal Ni Ramani,Homi Master,"Shahzadi, Khalil",Costume,1927
426,Gandharva Kanya a.k.a. The Reunion,,"Nandram, Leena, Gangaram, durga, Chandra, Nizam",Costume,1927
427,Glory Of Virtue a.k.a. Sheel Prabhav,Vishnupant Aundhkar,,Social,1927
428,Goddess of Love,Fatma Begum,Fatma Begum,,1927
429,Guarding Angel,K. P. Bhave,"Zebunisa, Khansaheb, Jamshedji",Social,1927
430,Gulzar a.k.a. The Horrors Of Slavery,Nanubhai Desai,"Yakub, Jani Babu, Mallika, Mani",Costume,1927
431,Gunsundari a.k.a. Why Husbands Go Astray,Chandulal Shah,"Raja Sandow, Gohar, Rampyari, R. N. Vaidya, Jumna",Social,1927
432,Hanuman Janma a.k.a. The Birth Of Hanuman,Dadasaheb Phalke,"Bhaurao Datar, Yamuna Gole, Laxman Malusare",Religious,1927
433,Jaane-E-Alam Anjumanara,Nanubhai B. Desai,"Janibabu, Kumudini, Mallika",Fantasy,1927
434,Jana,Priyanath Ganguly,"Patience Cooper, Dinesh Ranjan Das, Indira Devi, Krishnadan Mukherjee, Tulsi Bannerjee",Mythology,1927
435,Jewelled Arrow a.k.a. Poonam No Chand a.k.a. Ratna Baan,Bhagwati Mishra,"Zebunissa, Indira Devi, Elizer, Jamshedji",Costume,1927
436,Kailash Kumari a.k.a. Sansar Shatranj,Nanubhai Desai,"Miss Mani, Jani Babu, Mallika",,1927
437,Kala Pahad a.k.a. Masked Teror,A. P. Kapoor,"Shanta Kumari, Master Vithal, Kumudini",Costume,1927
438,Keshavkant B.A. a.k.a. Chastity Versus Unchastity,Harshadrai Mehta,"Nandram, Keshavlal, Yakbal, Nizam",Social,1927
439,Krishnakanta's Will a.k.a. Krishnakanter Will,Priyanath Ganguly,"Patience Cooper, Seeta Devi, Durgadas Bannerjee, Ahindra Chowdhury, Naresh Mitra, Jainarayan Mukherjee, Indira Devi, Geeta, Kanu Bannerjee, Prabodh Bose, Kartik Dey",Social,1927
440,Krishna Sakha,Ahindra Choudhury,"Santosh Sinha, Ahindra Choudhury, Saraswati, Brojendra Sirkar, Firozbala, Sushil Ghosh, Saraswati Devi, Tarakbala",Religious,1927
