director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Ravi Sadasiv,Ekta Singh, Ashish Vidyarthi & Mukesh Tiwari,unknown,Comedy Drama,bachche kachche sachche,Ekta Singh  Ashish Vidyarthi & Mukesh Tiwari unknown Ravi Sadasiv Comedy Drama
Sachindra Sharma,Salman Yusuff Khan, Aksha Pardasany & Shakti Kapoor,unknown,Drama,love you family,Salman Yusuff Khan  Aksha Pardasany & Shakti Kapoor unknown Sachindra Sharma Drama
Rahul Dahiya,Rajbeer Singh & Neha Chauhan,unknown,unknown,Drama,g kutta se,Rajbeer Singh & Neha Chauhan unknown unknown Rahul Dahiya Drama
Bumpy,Riteish Deshmukh, Vivek Oberoi & Rhea Chakraborty,unknown,Comedy Crime Thriller,bank chor,Riteish Deshmukh  Vivek Oberoi & Rhea Chakraborty unknown Bumpy Comedy Crime Thriller
Kabir Khan,Salman Khan, Sohail Khan & Zhu Zhu,unknown,Drama War,tubelight,Salman Khan  Sohail Khan & Zhu Zhu unknown Kabir Khan Drama War
Suneel Darshan,Shiv Darshan, Natasha Fernandez & Upen Patel,unknown,History Thriller,ek haseena thi ek deewana tha,Shiv Darshan  Natasha Fernandez & Upen Patel unknown Suneel Darshan History Thriller
Ravi Udyawar,Sridevi, Akshaye Khanna, Sajal Ali & Nawazuddin Siddiqui,Thriller Horror Comedy,mom,Sridevi  Akshaye Khanna  Sajal Ali & Nawazuddin Siddiqui Ravi Udyawar Thriller Horror Comedy
Ashwni Dhir,Kartik Aaryan, Kriti Kharbanda, Paresh Rawal & Tanvi Azmi,Comedy,guest iin london,Kartik Aaryan  Kriti Kharbanda  Paresh Rawal & Tanvi Azmi Ashwni Dhir Comedy
Anurag Basu,Ranbir Kapoor & Katrina Kaif,unknown,unknown,Adventure Comedy Mystery Romance,jagga jasoos,Ranbir Kapoor & Katrina Kaif unknown unknown Anurag Basu Adventure Comedy Mystery Romance
Onir,Raveena Tandon, Sanjay Suri, Ashish Bisht,Drama,shab,Raveena Tandon  Sanjay Suri  Ashish Bisht Onir Drama
Alankrita Shrivastava,Konkona Sen Sharma, Ratna Pathak Shah & Aahana Kumra,unknown,Comedy Drama,lipstick under my burkha,Konkona Sen Sharma  Ratna Pathak Shah & Aahana Kumra unknown Alankrita Shrivastava Comedy Drama
Sabbir Khan,Tiger Shroff, Nidhhi Agerwal & Nawazuddin Siddiqui,unknown,Action Music,munna michael,Tiger Shroff  Nidhhi Agerwal & Nawazuddin Siddiqui unknown Sabbir Khan Action Music
Tigmanshu Dhulia,Kunal Kapoor, Amit Sadh & Mohit Marwah,unknown,History Action Drama,raag desh,Kunal Kapoor  Amit Sadh & Mohit Marwah unknown Tigmanshu Dhulia History Action Drama
Madhur Bhandarkar,Anupam Kher, Neil Nitin Mukesh, Kirti Kulhari,Drama History,indu sarkar,Anupam Kher  Neil Nitin Mukesh  Kirti Kulhari Madhur Bhandarkar Drama History
Anees Bazmee,Anil Kapoor, Arjun Kapoor, Ileana D'Cruz,Comedy Drama,mubarakan,Anil Kapoor  Arjun Kapoor  Ileana D'Cruz Anees Bazmee Comedy Drama
Shanker Raman,Akshay Oberoi, Ragini Khanna, Pankaj Tripathi,Crime Thriller,gurgaon,Akshay Oberoi  Ragini Khanna  Pankaj Tripathi Shanker Raman Crime Thriller
Imtiaz Ali,Shah Rukh Khan, Anushka Sharma, Evelyn Sharma & Chandan Roy Sanyal,Comedy Drama Romance,jab harry met sejal,Shah Rukh Khan  Anushka Sharma  Evelyn Sharma & Chandan Roy Sanyal Imtiaz Ali Comedy Drama Romance
Shree Narayan Singh,Akshay Kumar, Bhumi Pednekar, Divyendu Sharma,Comedy Drama,toilet: ek prem katha,Akshay Kumar  Bhumi Pednekar  Divyendu Sharma Shree Narayan Singh Comedy Drama
Gurinder Chadha,Hugh Bonneville, Gillian Anderson, Manish Dayal,Drama History,partition: 1947,Hugh Bonneville  Gillian Anderson  Manish Dayal Gurinder Chadha Drama History
Ashwini Iyer Tiwari,Ayushmann Khurrana, Rajkummar Rao, Kriti Sanon,Romance Comedy,bareilly ki barfi,Ayushmann Khurrana  Rajkummar Rao  Kriti Sanon Ashwini Iyer Tiwari Romance Comedy
Raj and D.K.,Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumar,Drama Romance,a gentleman,Sidharth Malhotra  Jacqueline Fernandez  Darshan Kumar Raj and D.K. Drama Romance
Kushan Nandy,Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami,Action Crime Thriller,babumoshai bandookbaaz,Nawazuddin Siddiqui  Bidita Bag  Jatin Goswami Kushan Nandy Action Crime Thriller
